voltage	series1	series2	
-0.1	-0.1161503	-0.1045538
-0.0665	-0.08053047	-0.07203787
-0.0335	-0.04969433	-0.04138858
0	-0.03158563	-0.01548491
0.0335	-0.01591723	0.009546286
0.0665	-0.003028482	0.03419579
0.1	0.015588	0.05954555
0.1335	0.03963308	0.09205157
0.1665	0.06708529	0.1288561
0.2	0.09869582	0.1778295
0.2335	0.1309613	0.2349052
0.2665	0.1696568	0.3010453
0.3	0.211386	0.3776034
0.3335	0.255707	0.46467
0.3665	0.3015166	0.5610698
0.4	0.3514885	0.6662089
0.4335	0.4034427	0.7789846
0.4665	0.4575987	0.8980877
0.5	0.5145574	1.024098
0.5335	0.5742487	1.135479
0.5665	0.6353172	1.286877
0.6	0.699314	1.426933
0.6335	0.7643964	1.570104
0.6665	0.8311479	1.714452
0.7	0.9036607	1.863461
0.7335	0.9940043	2.016434
0.7665	1.10922	2.172355
0.8	1.361062	2.33655
0.8335	1.752161	2.519513
0.8665	2.202477	2.738447
0.9	2.678781	3.049571
0.9335	3.155091	3.414412
0.9665	3.631484	3.792481
1	4.116175	4.186915
1.0335	4.597515	4.590642
1.0665	5.077779	4.999052
1.1	5.562424	5.413256
1.1335	6.045372	5.8319
1.1665	6.527832	6.253961
1.2	7.011559	6.682115
1.1665	6.802559	6.534096
1.1335	6.556129	6.343534
1.1	6.295868	6.133869
1.0665	6.03258	5.915595
1.0335	5.773148	5.693245
1	5.511416	5.464317
0.9665	5.246552	5.227642
0.9335	4.986924	4.987658
0.9	4.720875	4.738265
0.8665	4.450589	4.484554
0.8335	4.18706	4.233039
0.8	3.913824	3.974682
0.7665	3.643485	3.717727
0.7335	3.376668	3.467739
0.7	3.111998	3.217341
0.6665	2.853638	2.972653
0.6335	2.603839	2.735114
0.6	2.360423	2.504052
0.5665	2.126364	2.279514
0.5335	1.942773	2.065188
0.5	1.694011	1.856985
0.4665	1.493383	1.657439
0.4335	1.306193	1.468502
0.4	1.13011	1.286798
0.3665	0.9643828	1.115019
0.3335	0.8136719	0.9539668
0.3	0.6734945	0.8038475
0.2665	0.5463242	0.665111
0.2335	0.432732	0.5384297
0.2	0.3307124	0.4234622
0.1665	0.2400704	0.3194894
0.1335	0.1636167	0.2305108
0.1	0.09722994	0.1522827
0.0665	0.04084988	0.0851141
0.0335	-0.004074529	0.03030831
0	-0.04357595	-0.01581772
-0.0335	-0.07023331	-0.05397553
-0.0665	-0.09611106	-0.08917042
